Record Id,Deal Name.id,Deal Name,Stage,Stage Duration (Calendar Days),Modified By.id,Modified By,Modified Time,Amount,Probability (%),Expected Revenue,Closing Date,Last Activity Time,Moved To
zcrm_6221978000008413612,zcrm_6221978000008413575,Ashford Advisors,Meetings Completed,51,zcrm_6221978000000460001,Brandon Murphy,2024-07-08 14:56:28,,60,,2024-10-01,2024-08-28 15:39:54,Closed Lost
zcrm_6221978000008413630,zcrm_6221978000008413584,NYL Louisiana,Meetings Completed,44,zcrm_6221978000000460001,Brandon Murphy,2024-07-08 14:56:28,,60,,2024-10-01,2024-08-21 10:13:50,Closed Won
zcrm_6221978000008413644,zcrm_6221978000008413591,Experior US,Meetings Completed,211,zcrm_6221978000000460001,Brandon Murphy,2024-07-08 14:56:28,,60,,2024-09-01,2025-02-04 12:07:25,Client Internal Review
zcrm_6221978000012164695,zcrm_6221978000012164037,"Regional Director (Sheridan, WY) Frontier Asset Management",Lead,200,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:34,,5,,2024-12-31,2025-02-05 15:00:26,Meeting Booked
zcrm_6221978000012166889,zcrm_6221978000012166392,"New Biz - Moran Wealth Management, Llc Naples",Lead,200,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:37,,5,,2024-12-31,2025-02-05 15:04:32,Engaged
zcrm_6221978000012167015,zcrm_6221978000012166455,New York Life San Diego,Lead,24,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:37,,5,,2024-12-31,2024-08-13 15:23:36,Engaged
zcrm_6221978000012167019,zcrm_6221978000012166457,New York Life Santa Clara,Lead,24,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:37,,5,,2024-12-31,2024-08-13 15:19:13,Engaged
zcrm_6221978000012167297,zcrm_6221978000012166596,"New Biz - Orion Portfolio Solutions, Llc Omaha",Lead,200,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:37,,5,,2024-12-31,2025-02-05 15:04:29,Engaged
zcrm_6221978000012167886,zcrm_6221978000012167643,"New Biz - Royal Fund Management, Llc Austin",Lead,179,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:38,,5,,2024-12-31,2025-01-15 18:04:22,Meeting Booked
zcrm_6221978000012167934,zcrm_6221978000012167667,"New Biz - Sound Income Strategies, Llc Richmond",Lead,200,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:38,,5,,2024-12-31,2025-02-05 15:04:30,Engaged
zcrm_6221978000012167964,zcrm_6221978000012167682,"New Biz - Tci Wealth Advisors, Inc. Tucson",Lead,200,zcrm_6221978000000460001,Brandon Murphy,2024-07-20 17:00:38,,5,,2024-12-31,2025-02-05 15:04:27,Engaged
zcrm_6221978000012859703,zcrm_6221978000012859701,BOSS Retirement Solutions,Meetings Completed,35,zcrm_6221978000000914023,Steve Perry,2024-07-24 12:53:34,,60,,2024-08-01,2024-08-28 15:38:22,Closed Lost
zcrm_6221978000012859747,zcrm_6221978000012859746,Guardian Home Office,Meetings Completed,27,zcrm_6221978000000914023,Steve Perry,2024-07-24 13:35:44,,60,,2024-09-03,2024-08-20 14:23:28,Closed Won
zcrm_6221978000015992934,zcrm_6221978000015992932,Dawnrae Wheeler,Engaged,54,zcrm_6221978000000914023,Steve Perry,2024-08-07 13:42:43,,20,0,2024-08-31,2024-09-30 10:30:58,Meeting Booked
zcrm_6221978000017530806,zcrm_6221978000012166457,New York Life Santa Clara,Engaged,15,zcrm_6221978000002800058,Celeste Besa,2024-08-13 15:19:13,,20,,2024-12-31,2024-08-28 15:50:53,Meeting Booked
zcrm_6221978000017530848,zcrm_6221978000012166455,New York Life San Diego,Engaged,118,zcrm_6221978000002800058,Celeste Besa,2024-08-13 15:23:36,,20,,2024-12-31,2024-12-09 14:39:47,Closed Lost
zcrm_6221978000019453056,zcrm_6221978000019453054,NYL Orlando,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-08-20 12:35:19,,100,,2023-12-01,2024-08-20 12:35:19,
zcrm_6221978000019453092,zcrm_6221978000019453090,Foster Klima,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-08-20 12:36:24,,100,,2024-02-01,2024-08-20 12:36:24,
zcrm_6221978000019453131,zcrm_6221978000019453129,NYL Spokane,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-08-20 12:39:43,,100,,2024-07-01,2024-08-20 12:39:43,
zcrm_6221978000019453144,zcrm_6221978000019453142,RPOA JRC,Closed Won,101,zcrm_6221978000000914023,Steve Perry,2024-08-20 12:40:25,,100,,2024-06-01,2024-11-29 11:26:30,Past Client
zcrm_6221978000019453157,zcrm_6221978000019453155,NYL Indiana,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-08-20 12:43:45,,100,,2024-02-01,2024-08-20 12:43:45,
zcrm_6221978000019453206,zcrm_6221978000019453204,NYL Utah,Lead,0,zcrm_6221978000000914023,Steve Perry,2024-08-20 12:46:07,,5,,2024-02-01,2024-08-20 12:46:19,Closed Won
zcrm_6221978000019453217,zcrm_6221978000019453204,NYL Utah,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-08-20 12:46:19,,100,,2024-02-01,2024-08-20 12:46:19,
zcrm_6221978000019521001,zcrm_6221978000012859746,Guardian Home Office,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-08-20 14:23:28,,100,,2024-09-03,2024-08-20 14:23:28,
zcrm_6221978000019900057,zcrm_6221978000008413584,NYL Louisiana,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-08-21 10:13:50,,100,,2024-08-02,2024-08-21 10:13:50,
zcrm_6221978000019900447,zcrm_6221978000019900445,Otimus Producer Partners,Meeting Booked,28,zcrm_6221978000000914023,Steve Perry,2024-08-21 15:45:07,,50,,2024-11-30,2024-09-18 10:07:45,Client Internal Review
zcrm_6221978000022107121,zcrm_6221978000012859701,BOSS Retirement Solutions,Closed Lost,12,zcrm_6221978000000914023,Steve Perry,2024-08-28 15:38:22,,0,,2024-08-01,2024-09-09 10:22:28,Client Internal Review
zcrm_6221978000022107157,zcrm_6221978000008413575,Ashford Advisors,Closed Lost,84,zcrm_6221978000000914023,Steve Perry,2024-08-28 15:39:54,,0,,2024-10-01,2024-11-20 17:39:57,Closed Won
zcrm_6221978000022107183,zcrm_6221978000012166457,New York Life Santa Clara,Meeting Booked,13,zcrm_6221978000000914023,Steve Perry,2024-08-28 15:50:53,,30,,2024-12-31,2024-09-10 18:16:28,Meetings Completed
zcrm_6221978000022107457,zcrm_6221978000022107455,Farm Bureau Chanhassen,Meeting Booked,21,zcrm_6221978000000914023,Steve Perry,2024-08-28 16:26:16,,30,,2024-09-04,2024-09-18 10:07:42,Client Internal Review
zcrm_6221978000024830084,zcrm_6221978000012859701,BOSS Retirement Solutions,Client Internal Review,1,zcrm_6221978000000914023,Steve Perry,2024-09-09 10:22:28,,42,,2024-08-01,2024-09-10 18:13:39,Closed Won
zcrm_6221978000025431062,zcrm_6221978000012859701,BOSS Retirement Solutions,Closed Won,,zcrm_6221978000000914023,Steve Perry,2024-09-10 18:13:39,,100,,2024-08-01,2024-09-10 18:13:39,
zcrm_6221978000025431109,zcrm_6221978000012166457,New York Life Santa Clara,Meetings Completed,0,zcrm_6221978000000914023,Steve Perry,2024-09-10 18:16:28,,36,,2024-12-31,2024-09-10 18:40:32,Client Internal Review
zcrm_6221978000025431164,zcrm_6221978000012166457,New York Life Santa Clara,Client Internal Review,84,zcrm_6221978000000914023,Steve Perry,2024-09-10 18:40:32,,42,,2024-12-31,2024-12-03 11:53:53,Past Client
zcrm_6221978000027603003,zcrm_6221978000022107455,Farm Bureau Chanhassen,Client Internal Review,122,zcrm_6221978000000914023,Steve Perry,2024-09-18 10:07:42,,42,,2024-09-17,2025-01-18 10:36:43,Closed Won
zcrm_6221978000027603014,zcrm_6221978000019900445,Otimus Producer Partners,Client Internal Review,68,zcrm_6221978000000914023,Steve Perry,2024-09-18 10:07:45,,42,,2024-11-30,2024-11-25 14:20:09,Closed Lost
zcrm_6221978000029182014,zcrm_6221978000029182012,RPOA Retirement Advisor,Closed Won,67,zcrm_6221978000000914023,Steve Perry,2024-09-23 10:26:46,,100,,2024-09-17,2024-11-29 11:26:24,Past Client
zcrm_6221978000031269071,zcrm_6221978000015992932,Dawnrae Wheeler,Meeting Booked,3,zcrm_6221978000000914023,Steve Perry,2024-09-30 10:30:58,,33,0,2024-08-31,2024-10-03 11:42:53,Deferred
zcrm_6221978000031269144,zcrm_6221978000031269142,Punch & Associates Edina,Engaged,255,zcrm_6221978000000914023,Steve Perry,2024-09-30 15:59:59,,6,,2024-12-31,2025-06-12 12:22:04,Deferred
zcrm_6221978000032025027,zcrm_6221978000015992932,Dawnrae Wheeler,Deferred,,zcrm_6221978000000914023,Steve Perry,2024-10-03 11:42:53,,10,0,2024-08-31,2024-10-03 11:42:53,
zcrm_6221978000036382017,zcrm_6221978000036382015,One Seven,Engaged,1,zcrm_6221978000000914023,Steve Perry,2024-10-21 10:40:58,,6,,2024-10-31,2024-10-22 11:32:46,Meetings Completed
zcrm_6221978000036993003,zcrm_6221978000036382015,One Seven,Meetings Completed,42,zcrm_6221978000000914023,Steve Perry,2024-10-22 11:32:46,,36,,2024-10-31,2024-12-03 11:56:14,Deferred
